,expression ,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
0,Jatding ,strong,epistemic,1,positive,no,jatding,
1,Jatding ,weak necessity,epistemic,?,positive,no,jatding,
2,Jatding ,weak,epistemic,?,positive,no,jatding ,
3,Jatding ,strong,deontic,1,positive,no,(jatding) jiu,exists as an optional element before the main Deontic modal jiu
4,Jatding ,weak necessity,deontic,?,positive,no,jatding ,
5,Jatding ,weak,deontic,?,positive,no,jatding ,
6,Jatding ,strong,teleological,1,positive,no,(jatding) jiu,exists as an optional element before the main modal jiu. Used for emphasis
7,Jatding ,weak necessity,teleological,?,positive,no,jatding ,
8,Jatding ,weak,teleological,?,positive,no,jatding ,
9,Jatding ,strong,circumstantial,?,positive,no,jatding ,
10,Jatding ,weak,circumstantial,?,positive,no,jatding,
11,Jatding ,strong,bouletic,1,positive,no,jatding wui / jatding jiu,
12,Jinggoi,strong,epistemic,?,positive,no,jinggoi,
13,Jinggoi,weak necessity,epistemic,1,positive,no,jinggoi,
14,Jinggoi,weak,epistemic,1,positive,no,jinggoi ,
15,Jinggoi,strong,deontic,?,positive,no,jinggoi,
16,Jinggoi,weak necessity,deontic,1,positive,no,jinggoi (jiu),
17,Jinggoi,weak,deontic,?,positive,no,jinggoi,
18,Jinggoi,strong,teleological,?,positive,no,jinggoi,
19,Jinggoi,weak necessity,teleological,1,positive,no,jinngoi,
20,Jinggoi,weak,teleological,?,positive,no,jinggoi,
21,Jinggoi,strong,circumstantial,?,positive,no,jinggoi,
22,Jinggoi,weak,circumstantial,1,positive,no,(jinggoi) dou/hoji,"exists as an optional element before main circumstantial possibiliity modal dou, or general possibiity modal hoji"
23,Jinggoi,strong,bouletic,?,positive,no,jinggoi,
24,Jiu,strong,epistemic,?,positive,no,jiu,
25,Jiu,weak necessity,epistemic,?,positive,no,jiu,
26,Jiu,weak,epistemic,?,positive,no,jiu,
27,Jiu,strong,deontic,1,positive,no,(jatding) jiu,
28,Jiu,weak necessity,deontic,1,positive,no,(jinggoi) jiu,
29,Jiu,weak,deontic,?,positive,no,jiu,
30,Jiu,strong,teleological,1,positive,no,(jatding) jiu,
31,Jiu,weak necessity,teleological,?,positive,no,jiu,
32,Jiu,weak,teleological,?,positive,no,jiu,
33,Jiu,strong,circumstantial,1,positive,no,jiu,participant internal use only
34,Jiu,weak,circumstantial,?,positive,no,jiu,
35,Jiu,strong,bouletic,1,positive,no,(jatding) jiu,
36,Honang ,strong,epistemic,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
37,Honang ,weak necessity,epistemic,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
38,Honang ,weak,epistemic,1,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
39,Honang ,strong,deontic,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
40,Honang ,weak necessity,deontic,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
41,Honang ,weak,deontic,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
42,Honang ,strong,teleological,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
43,Honang ,weak necessity,teleological,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
44,Honang ,weak,teleological,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
45,Honang ,strong,circumstantial,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
46,Honang ,weak,circumstantial,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
47,Honang ,strong,bouletic,?,positive,no,(jau) honang,"Jau (have) MOD, jau sometimes optional"
48,Hoji,strong,epistemic,?,positive,no,hoji,
49,Hoji,weak necessity,epistemic,?,positive,no,hoji,
50,Hoji,weak,epistemic,?,positive,no,hoji,
51,Hoji,strong,deontic,?,positive,no,hoji,
52,Hoji,weak necessity,deontic,?,positive,no,hoji,
53,Hoji,weak,deontic,1,positive,no,hoji,
54,Hoji,strong,teleological,?,positive,no,hoji,
55,Hoji,weak necessity,teleological,?,positive,no,hoji,
56,Hoji,weak,teleological,1,positive,no,hoji,
57,Hoji,strong,circumstantial,?,positive,no,hoji,
58,Hoji,weak,circumstantial,1,positive,no,(jinggoi) hoji,
59,Hoji,strong,bouletic,?,positive,no,hoji,
60,Dak,strong,epistemic,?,positive,no,dak,
61,Dak,weak necessity,epistemic,?,positive,no,dak,
62,Dak,weak,epistemic,?,positive,no,dak,
63,Dak,strong,deontic,?,positive,no,dak,
64,Dak,weak necessity,deontic,?,positive,no,dak,
65,Dak,weak,deontic,?,positive,no,dak,
66,Dak,strong,teleological,?,positive,no,dak,
67,Dak,weak necessity,teleological,?,positive,no,dak,
68,Dak,weak,teleological,?,positive,no,dak,
69,Dak,strong,circumstantial,?,positive,no,dak,
70,Dak,weak,circumstantial,1,positive,no,dak,
71,Dak,strong,bouletic,?,positive,no,dak,
72,... dou,strong,epistemic,?,positive,no,... dou,"sentence final, or clause final unit"
73,... dou,weak necessity,epistemic,?,positive,no,... dou,"sentence final, or clause final unit"
74,... dou,weak,epistemic,?,positive,no,... dou,"sentence final, or clause final unit"
75,... dou,strong,deontic,?,positive,no,... dou,"sentence final, or clause final unit"
76,... dou,weak necessity,deontic,?,positive,no,... dou,"sentence final, or clause final unit"
77,... dou,weak,deontic,?,positive,no,... dou,"sentence final, or clause final unit"
78,... dou,strong,teleological,?,positive,no,... dou,"sentence final, or clause final unit"
79,... dou,weak necessity,teleological,?,positive,no,... dou,"sentence final, or clause final unit"
80,... dou,weak,teleological,?,positive,no,... dou,"sentence final, or clause final unit"
81,... dou,strong,circumstantial,?,positive,no,... dou,"sentence final, or clause final unit"
82,... dou,weak,circumstantial,1,positive,no,(jinggoi)... dou,"sentence final, or clause final unit"
83,... dou,strong,bouletic,?,positive,no,... dou,"sentence final, or clause final unit"
84,... la,strong,epistemic,?,positive,no,... la,sentence final particle used for recommendation
85,... la,weak necessity,epistemic,?,positive,no,... la,sentence final particle used for recommendation
86,... la,weak,epistemic,?,positive,no,... la,sentence final particle used for recommendation
87,... la,strong,deontic,?,positive,no,... la,sentence final particle used for recommendation
88,... la,weak necessity,deontic,?,positive,no,... la,sentence final particle used for recommendation
89,... la,weak,deontic,?,positive,no,... la,sentence final particle used for recommendation
90,... la,strong,teleological,?,positive,no,... la,sentence final particle used for recommendation
91,... la,weak necessity,teleological,1,positive,no,... la,sentence final particle used for recommendation
92,... la,weak,teleological,?,positive,no,... la,sentence final particle used for recommendation
93,... la,strong,circumstantial,?,positive,no,... la,sentence final particle used for recommendation
94,... la,weak,circumstantial,?,positive,no,... la,sentence final particle used for recommendation
95,... la,strong,bouletic,?,positive,no,... la,sentence final particle used for recommendation
96,bei,strong,epistemic,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
97,bei,weak necessity,epistemic,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
98,bei,weak,epistemic,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
99,bei,strong,deontic,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
100,bei,weak necessity,deontic,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
101,bei,weak,deontic,1,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
102,bei,strong,teleological,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
103,bei,weak necessity,teleological,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
104,bei,weak,teleological,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
105,bei,strong,circumstantial,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
106,bei,weak,circumstantial,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
107,bei,strong,bouletic,?,positive,no,subj BEI obj [ditrans],"Used for ""give"" permission"
108,soeijiu,strong,epistemic,?,positive,no,soeijiu,
109,soeijiu,weak necessity,epistemic,?,positive,no,soeijiu,
110,soeijiu,weak,epistemic,?,positive,no,soeijiu,
111,soeijiu,strong,deontic,?,positive,no,soeijiu,
112,soeijiu,weak necessity,deontic,?,positive,no,soeijiu,
113,soeijiu,weak,deontic,?,positive,no,soeijiu,
114,soeijiu,strong,teleological,?,positive,no,soeijiu,
115,soeijiu,weak necessity,teleological,?,positive,no,soeijiu,
116,soeijiu,weak,teleological,?,positive,no,soeijiu,
117,soeijiu,strong,circumstantial,1,positive,no,soeijiu,
118,soeijiu,weak,circumstantial,?,positive,no,soeijiu,
119,soeijiu,strong,bouletic,?,positive,no,soeijiu,
120,Jatding ,strong,epistemic,?,negative,low,m jatding,
121,Jatding ,weak necessity,epistemic,?,negative,low,m jatding,
122,Jatding ,weak,epistemic,?,negative,low,m jatding,
123,Jatding ,strong,deontic,?,negative,low,m jatding,
124,Jatding ,weak necessity,deontic,?,negative,low,m jatding,
125,Jatding ,weak,deontic,?,negative,low,m jatding,
126,Jatding ,strong,teleological,1,negative,low,m jatding,
127,Jatding ,weak necessity,teleological,?,negative,low,m jatding,
128,Jatding ,weak,teleological,?,negative,low,m jatding,
129,Jatding ,strong,circumstantial,1,negative,low,m jatding,
130,Jatding ,weak,circumstantial,?,negative,low,m jatding,
131,Jatding ,strong,bouletic,?,negative,low,m jatding,
132,Jinggoi,strong,epistemic,1,negative,high,jinggoi m ,
133,Jinggoi,weak necessity,epistemic,?,negative,high,jinggoi m ,
134,Jinggoi,weak,epistemic,?,negative,high,jinggoi m ,
135,Jinggoi,strong,deontic,?,negative,high,jinggoi m ,
136,Jinggoi,weak necessity,deontic,?,negative,high,jinggoi m ,
137,Jinggoi,weak,deontic,?,negative,high,jinggoi m ,
138,Jinggoi,strong,teleological,?,negative,high,jinggoi m ,
139,Jinggoi,weak necessity,teleological,?,negative,high,jinggoi m ,
140,Jinggoi,weak,teleological,?,negative,high,jinggoi m ,
141,Jinggoi,strong,circumstantial,?,negative,high,jinggoi m ,
142,Jinggoi,weak,circumstantial,?,negative,high,jinggoi m ,
143,Jinggoi,strong,bouletic,?,negative,high,jinggoi m ,
144,Jiu,strong,epistemic,?,negative,low,m jatding jiu,
145,Jiu,weak necessity,epistemic,?,negative,low,m jatding jiu,
146,Jiu,weak,epistemic,?,negative,low,m jatding jiu,
147,Jiu,strong,deontic,?,negative,low,m jatding jiu,
148,Jiu,weak necessity,deontic,?,negative,low,m jatding jiu,
149,Jiu,weak,deontic,?,negative,low,m jatding jiu,
150,Jiu,strong,teleological,1,negative,low,m jatding jiu,both elements required
151,Jiu,weak necessity,teleological,?,negative,low,m jatding jiu,
152,Jiu,weak,teleological,?,negative,low,m jatding jiu,
153,Jiu,strong,circumstantial,?,negative,low,m jatding jiu,
154,Jiu,weak,circumstantial,?,negative,low,m jatding jiu,
155,Jiu,strong,bouletic,?,negative,low,m jatding jiu,
156,Honang ,strong,epistemic,1,negative,high,jau honang m ,
157,Honang ,weak necessity,epistemic,?,negative,high,jau honang m ,
158,Honang ,weak,epistemic,1,negative,low,mou honang,
159,Honang ,strong,deontic,?,negative,high,jau honang m ,
160,Honang ,weak necessity,deontic,?,negative,high,jau honang m ,
161,Honang ,weak,deontic,?,negative,high,jau honang m ,
162,Honang ,strong,teleological,?,negative,high,jau honang m ,
163,Honang ,weak necessity,teleological,?,negative,high,jau honang m ,
164,Honang ,weak,teleological,?,negative,high,jau honang m ,
165,Honang ,strong,circumstantial,?,negative,high,jau honang m ,
166,Honang ,weak,circumstantial,?,negative,high,jau honang m ,
167,Honang ,strong,bouletic,?,negative,high,jau honang m ,
168,Hoji,strong,epistemic,?,negative,low,m hoji,
169,Hoji,weak necessity,epistemic,?,negative,low,m hoji,
170,Hoji,weak,epistemic,?,negative,low,m hoji,
171,Hoji,strong,deontic,?,negative,low,m hoji,
172,Hoji,weak necessity,deontic,?,negative,low,m hoji,
173,Hoji,weak,deontic,1,negative,low,m hoji,
174,Hoji,strong,teleological,?,negative,low,m hoji,
175,Hoji,weak necessity,teleological,?,negative,low,m hoji,
176,Hoji,weak,teleological,1,negative,low,m hoji,
177,Hoji,strong,circumstantial,?,negative,low,m hoji,
178,Hoji,weak,circumstantial,1,negative,low,m hoji,
179,Hoji,strong,bouletic,?,negative,low,m hoji,
180,Dak,strong,epistemic,?,negative,low,mou dak,
181,Dak,weak necessity,epistemic,?,negative,low,mou dak,
182,Dak,weak,epistemic,?,negative,low,mou dak,
183,Dak,strong,deontic,?,negative,low,mou dak,
184,Dak,weak necessity,deontic,?,negative,low,mou dak,
185,Dak,weak,deontic,?,negative,low,mou dak,
186,Dak,strong,teleological,?,negative,low,mou dak,
187,Dak,weak necessity,teleological,?,negative,low,mou dak,
188,Dak,weak,teleological,?,negative,low,mou dak,
189,Dak,strong,circumstantial,?,negative,low,mou dak,
190,Dak,weak,circumstantial,1,negative,low,mou dak,
191,Dak,strong,bouletic,?,negative,low,mou dak,
192,... dou,strong,epistemic,?,negative,low,m dou,
193,... dou,weak necessity,epistemic,?,negative,low,m dou,
194,... dou,weak,epistemic,?,negative,low,m dou,
195,... dou,strong,deontic,?,negative,low,m dou,
196,... dou,weak necessity,deontic,?,negative,low,m dou,
197,... dou,weak,deontic,?,negative,low,m dou,
198,... dou,strong,teleological,?,negative,low,m dou,
199,... dou,weak necessity,teleological,?,negative,low,m dou,
200,... dou,weak,teleological,?,negative,low,m dou,
201,... dou,strong,circumstantial,?,negative,low,m dou,
202,... dou,weak,circumstantial,1,negative,low,m dou,
203,... dou,strong,bouletic,?,negative,low,m dou,
