expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
kell,strong,epistemic,1,positive,no,kell,auxiliary verb
kell,weak necessity,epistemic,?,positive,no,,
kell,weak,epistemic,?,positive,no,,
kell,strong,deontic,1,positive,no,kell,
kell,weak necessity,deontic,1,positive,no,kellene,conditional
kell,weak,deontic,?,positive,no,,
kell,strong,teleological,1,positive,no,kell,
kell,weak necessity,teleological,1,positive,no,kellene,conditional
kell,weak,teleological,?,positive,no,,
kell,strong,circumstantial,1,positive,no,kell,
kell,weak,circumstantial,?,positive,no,,
kell,strong,bouletic,1,positive,no,kell,
kell,strong,epistemic,?,negative,,,
kell,weak necessity,epistemic,?,negative,,,
kell,weak,epistemic,?,negative,,,
kell,strong,deontic,1,negative,above,NEG kell + [...],
kell,weak necessity,deontic,?,negative,,,
kell,weak,deontic,?,negative,,,
kell,strong,teleological,1,negative,above,NEG kell + [...],
kell,weak necessity,teleological,?,negative,,,
kell,weak,teleological,?,negative,,,
kell,strong,circumstantial,?,negative,,,
kell,weak,circumstantial,?,negative,,,
kell,strong,bouletic,?,negative,,,
muszáj,strong,epistemic,?,positive,no,,
muszáj,weak necessity,epistemic,?,positive,no,,
muszáj,weak,epistemic,?,positive,no,,
muszáj,strong,deontic,1,positive,no,muszáj,
muszáj,weak necessity,deontic,1,positive,no,muszáj,
muszáj,weak,deontic,?,positive,no,,
muszáj,strong,teleological,?,positive,no,,
muszáj,weak necessity,teleological,?,positive,no,,
muszáj,weak,teleological,?,positive,no,,
muszáj,strong,circumstantial,1,positive,no,muszáj,
muszáj,weak,circumstantial,?,positive,no,,
muszáj,strong,bouletic,1,positive,no,muszáj,
muszáj,strong,epistemic,?,negative,,,
muszáj,weak necessity,epistemic,?,negative,,,
muszáj,weak,epistemic,?,negative,,,
muszáj,strong,deontic,1,negative,above,NEG muszáj + [...],
muszáj,weak necessity,deontic,?,negative,,,
muszáj,weak,deontic,?,negative,,,
muszáj,strong,teleological,?,negative,,,
muszáj,weak necessity,teleological,?,negative,,,
muszáj,weak,teleological,?,negative,,,
muszáj,strong,circumstantial,?,negative,,,
muszáj,weak,circumstantial,?,negative,,,
muszáj,strong,bouletic,?,negative,,,
