expression,force,flavor,can_express,polarity,syntactically_negated,neg_position,full_form,notes
Riri,strong,epistemic,1,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
Riri,weak necessity,epistemic,?,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
Riri,weak,epistemic,?,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
Riri,strong,deontic,1,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
Riri,weak necessity,deontic,?,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
Riri,weak,deontic,?,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
Riri,strong,teleological,1,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
Riri,weak necessity,teleological,?,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
Riri,weak,teleological,?,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
Riri,strong,circumstantial,1,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
Riri,weak,circumstantial,?,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
