expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
müleyafuy may,strong,epistemic,1,positive,no,müleyafuy may,
müleyafuy may,weak necessity,epistemic,?,positive,no,müleyafuy may,
müleyafuy may,weak,epistemic,?,positive,no,müleyafuy may,
müleyafuy may,strong,deontic,?,positive,no,müleyafuy may,
müleyafuy may,weak necessity,deontic,?,positive,no,müleyafuy may,
müleyafuy may,weak,deontic,?,positive,no,müleyafuy may,
müleyafuy may,weak,deontic,?,positive,no,müleyafuy may,
müleyafuy may,strong,teleological,?,positive,no,müleyafuy may,
müleyafuy may,weak necessity,teleological,?,positive,no,müleyafuy may,
müleyafuy may,weak,teleological,?,positive,no,müleyafuy may,
müleyafuy may,strong,circumstantial,?,positive,no,müleyafuy may,
müleyafuy may,weak,circumstantial,?,positive,no,müleyafuy may,
müleyafuy may,strong,bouletic,?,positive,no,müleyafuy may,
-pelayafuy,strong,epistemic,?,positive,no,V-pelayafuy,
-pelayafuy,weak necessity,epistemic,1,positive,no,V-pelayafuy,
-pelayafuy,weak,epistemic,1,positive,no,V-pelayafuy,
-pelayafuy,strong,deontic,?,positive,no,V-pelayafuy,
-pelayafuy,strong,deontic,?,positive,no,V-pelayafuy,
-pelayafuy,weak necessity,deontic,?,positive,no,V-pelayafuy,
-pelayafuy,weak,deontic,?,positive,no,V-pelayafuy,
-pelayafuy,strong,teleological,?,positive,no,V-pelayafuy,
-pelayafuy,weak necessity,teleological,?,positive,no,V-pelayafuy,
-pelayafuy,weak,teleological,?,positive,no,V-pelayafuy,
-pelayafuy,strong,circumstantial,?,positive,no,V-pelayafuy,
-pelayafuy,weak,circumstantial,?,positive,no,V-pelayafuy,
-pelayafuy,strong,bouletic,?,positive,no,V-pelayafuy,
müleyafuy kam,strong,epistemic,?,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak necessity,epistemic,?,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak,epistemic,1,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,strong,deontic,?,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak necessity,deontic,?,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak,deontic,?,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,strong,teleological,?,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak necessity,teleological,?,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak,teleological,?,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,strong,circumstantial,?,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak,circumstantial,?,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,strong,bouletic,?,positive,no,müleyafuy kam + [...] + chi,
pepi-_-afu,strong,epistemic,?,positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,weak necessity,epistemic,?,positive,no,pepi-V-(y)afu-CONJ,
