expression,force,flavor,can_express,polarity,syntactically_negated,neg_position,full_form,notes
dolžen,strong,epistemic,1,positive,no,none,dolžen,
dolžen,weak necessity,epistemic,1,positive,no,none,dolžen,
dolžen,weak,epistemic,0,positive,no,none,dolžen,
dolžen,strong,deontic,1,positive,no,none,dolžen,
dolžen,weak necessity,deontic,?,positive,no,none,dolžen,
dolžen,weak,deontic,?,positive,no,none,dolžen,
dolžen,strong,teleological,1,positive,no,none,dolžen,
dolžen,weak necessity,teleological,?,positive,no,none,dolžen,
dolžen,weak,teleological,?,positive,no,none,dolžen,
dolžen,strong,circumstantial,1,positive,no,none,dolžen,
dolžen,weak,circumstantial,?,positive,no,none,dolžen,
dolžen,strong,bouletic,1,positive,no,none,dolžen,
dolžno,strong,epistemic,1,positive,no,none,dolžno,
dolžno,weak necessity,epistemic,1,positive,no,none,dolžno,
dolžno,weak,epistemic,?,positive,no,none,dolžno,
dolžno,strong,deontic,?,positive,no,none,dolžno,
dolžno,weak necessity,deontic,?,positive,no,none,dolžno,
dolžno,weak,deontic,?,positive,no,none,dolžno,
dolžno,strong,teleological,?,positive,no,none,dolžno,
dolžno,weak necessity,teleological,?,positive,no,none,dolžno,
dolžno,weak,teleological,?,positive,no,none,dolžno,
dolžno,strong,circumstantial,?,positive,no,none,dolžno,
dolžno,weak,circumstantial,?,positive,no,none,dolžno,
dolžno,strong,bouletic,?,positive,no,none,dolžno,
nužno,strong,epistemic,?,positive,no,none,nužno,
nužno,weak necessity,epistemic,?,positive,no,none,nužno,
nužno,weak,epistemic,?,positive,no,none,nužno,
nužno,strong,deontic,?,positive,no,none,nužno,
nužno,weak necessity,deontic,?,positive,no,none,nužno,
nužno,weak,deontic,?,positive,no,none,nužno,
nužno,strong,teleological,1,positive,no,none,nužno,
nužno,weak necessity,teleological,?,positive,no,none,nužno,
nužno,weak,teleological,?,positive,no,none,nužno,
nužno,strong,circumstantial,1,positive,no,none,nužno,
nužno,weak,circumstantial,?,positive,no,none,nužno,
nužno,strong,bouletic,?,positive,no,none,nužno,
nado,strong,epistemic,?,positive,no,none,nado,
nado,weak necessity,epistemic,?,positive,no,none,nado,
nado,weak,epistemic,?,positive,no,none,nado,
nado,strong,deontic,?,positive,no,none,nado,
