,expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes,Language,lang_ID,Unnamed: 8,register
0,ɛsɛsɛ,strong,epistemic,1,positive,no,ɛsɛsɛ,,Akan,akan1250,,
1,ɛsɛsɛ,weak necessity,epistemic,1,positive,no,ɛsɛsɛ,,Akan,akan1250,,
2,ɛsɛsɛ,weak,epistemic,?,positive,no,ɛsɛsɛ,,Akan,akan1250,,
3,ɛsɛsɛ,strong,deontic,1,positive,no,ɛsɛsɛ,,Akan,akan1250,,
4,ɛsɛsɛ,weak necessity,deontic,1,positive,no,ɛsɛsɛ,,Akan,akan1250,,
5,ɛsɛsɛ,weak,deontic,?,positive,no,ɛsɛsɛ,,Akan,akan1250,,
6,ɛsɛsɛ,strong,teleological,?,positive,no,ɛsɛsɛ,this is marginally acceptable according to consultant,Akan,akan1250,,
7,ɛsɛsɛ,weak necessity,teleological,?,positive,no,ɛsɛsɛ,,Akan,akan1250,,
8,ɛsɛsɛ,weak,teleological,?,positive,no,ɛsɛsɛ,,Akan,akan1250,,
9,ɛsɛsɛ,strong,circumstantial,1,positive,no,ɛsɛsɛ,ɛwɔsɛ is preferred but ɛsɛsɛ is accpetable as well,Akan,akan1250,,
10,ɛsɛsɛ,weak,circumstantial,?,positive,no,ɛsɛsɛ,,Akan,akan1250,,
11,ɛsɛsɛ,strong,bouletic,1,positive,no,ɛsɛsɛ,,Akan,akan1250,,
12,ɛsɛsɛ,strong,epistemic,1,negative,yes,ɛnsɛsɛ,n is negation,Akan,akan1250,,
13,ɛsɛsɛ,weak necessity,epistemic,?,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
14,ɛsɛsɛ,weak,epistemic,?,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
15,ɛsɛsɛ,strong,deontic,1,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
16,ɛsɛsɛ,weak necessity,deontic,?,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
17,ɛsɛsɛ,weak,deontic,?,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
18,ɛsɛsɛ,strong,teleological,1,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
19,ɛsɛsɛ,weak necessity,teleological,?,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
20,ɛsɛsɛ,weak,teleological,?,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
21,ɛsɛsɛ,strong,circumstantial,?,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
22,ɛsɛsɛ,weak,circumstantial,?,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
23,ɛsɛsɛ,strong,bouletic,?,negative,yes,ɛnsɛsɛ,,Akan,akan1250,,
24,a-gye-sɛ,strong,epistemic,1,positive,no,a-gye-sɛ,it is not clear that the expression is only limited to strong epistemic,Akan,akan1250,,
25,a-gye-sɛ,weak necessity,epistemic,?,positive,no,a-gye-sɛ,,Akan,akan1250,,
26,a-gye-sɛ,weak,epistemic,?,positive,no,a-gye-sɛ,,Akan,akan1250,,
27,a-gye-sɛ,strong,deontic,0,positive,no,a-gye-sɛ,,Akan,akan1250,,
28,a-gye-sɛ,weak necessity,deontic,?,positive,no,a-gye-sɛ,,Akan,akan1250,,
29,a-gye-sɛ,weak,deontic,?,positive,no,a-gye-sɛ,,Akan,akan1250,,
30,a-gye-sɛ,strong,teleological,?,positive,no,a-gye-sɛ,,Akan,akan1250,,
31,a-gye-sɛ,weak necessity,teleological,?,positive,no,a-gye-sɛ,,Akan,akan1250,,
32,a-gye-sɛ,weak,teleological,?,positive,no,a-gye-sɛ,,Akan,akan1250,,
33,a-gye-sɛ,strong,circumstantial,?,positive,no,a-gye-sɛ,,Akan,akan1250,,
34,a-gye-sɛ,weak,circumstantial,?,positive,no,a-gye-sɛ,,Akan,akan1250,,
35,a-gye-sɛ,strong,bouletic,?,positive,no,a-gye-sɛ,,Akan,akan1250,,
36,ɛ-ho-hia,strong,epistemic,0,positive,no,ɛ-ho-hia,,Akan,akan1250,,
37,ɛ-ho-hia,weak necessity,epistemic,?,positive,no,ɛ-ho-hia,,Akan,akan1250,,
38,ɛ-ho-hia,weak,epistemic,?,positive,no,ɛ-ho-hia,,Akan,akan1250,,
39,ɛ-ho-hia,strong,deontic,1,positive,no,ɛ-ho-hia,,Akan,akan1250,,
40,ɛ-ho-hia,weak necessity,deontic,?,positive,no,ɛ-ho-hia,,Akan,akan1250,,
41,ɛ-ho-hia,weak,deontic,?,positive,no,ɛ-ho-hia,,Akan,akan1250,,
42,ɛ-ho-hia,strong,teleological,0,positive,no,ɛ-ho-hia,,Akan,akan1250,,
