ID,Name,Description
0,ability,
1,bouletic, the set of relevant possibilities is a set of desires of some agent or group of agents
2,circumstantial, the set of relevant possibilities is a set of circumstances held in w
3,deontic,the set of relevant possibilities is a set of rules in force of some agent or group of agents
4,epistemic,the set of relevant possibilities is a set of facts known to some agent or group of agents
5,future,
6,hortative,
7,intentional,
8,irrealis,
9,permissive,
10,reportative,
11,teleological,
12,volitional,
