expression,force,flavor,can_express,notes
mesthi,weak,epistemic,0,
mesthi,weak,deontic,0,
mesthi,weak,circumstantial,0,
mesthi,weak,teleological,?,
mesthi,weak,bouletic,?,
mesthi,strong,epistemic,1,
mesthi,strong,deontic,0,
mesthi,strong,circumstantial,0,
mesthi,strong,teleological,?,
mesthi,strong,bouletic,?,
paleng,weak,epistemic,1,
paleng,weak,deontic,?,
paleng,weak,circumstantial,0,
paleng,weak,teleological,?,
paleng,weak,bouletic,?,
paleng,strong,epistemic,0,"may also express this, but Vander Klok argues that it's due to cultural differences in pragmatic stengthening"
paleng,strong,deontic,?,
paleng,strong,circumstantial,0,
paleng,strong,teleological,?,
paleng,strong,bouletic,?,
oleh,weak,epistemic,0,
oleh,weak,deontic,1,
oleh,weak,circumstantial,0,
oleh,weak,teleological,?,
oleh,weak,bouletic,?,
oleh,strong,epistemic,0,
oleh,strong,deontic,0,
oleh,strong,circumstantial,0,
oleh,strong,teleological,?,
oleh,strong,bouletic,?,
iso,weak,epistemic,0,
iso,weak,deontic,0,
iso,weak,circumstantial,1,
iso,weak,teleological,?,
iso,weak,bouletic,?,
iso,strong,epistemic,0,
iso,strong,deontic,0,
iso,strong,circumstantial,0,
iso,strong,teleological,?,
iso,strong,bouletic,?,
kudu1,weak,epistemic,0,
kudu1,weak,deontic,0,
kudu1,weak,circumstantial,0,
kudu1,weak,teleological,0,
kudu1,weak,bouletic,0,
kudu1,strong,epistemic,0,
kudu1,strong,deontic,1,
kudu1,strong,circumstantial,1,
kudu1,strong,teleological,1,
kudu1,strong,bouletic,0,
kudu2,weak,epistemic,0,
kudu2,weak,deontic,0,
kudu2,weak,circumstantial,0,
kudu2,weak,teleological,0,
kudu2,weak,bouletic,0,
kudu2,strong,epistemic,0,
kudu2,strong,deontic,0,
kudu2,strong,circumstantial,0,
kudu2,strong,teleological,0,
kudu2,strong,bouletic,1,
